DSO,Rank,Month
100063884170001435,44,
100006810170000786,6,
100063884170001443,33,
100064100170000970,2,
100063715170001108,1,
100007001170001089,15,
100061115170002164,5,202604
100064106170002516,12,
100063793170000696,15,
100006740170001412,1000,202601
100064100170000975,5,
100064113170000423,20,202509
100006205170000882,1,
100006470170001486,2,
100006135170002599,5,
100006260170001989,1,
100006335170001408,10,202603
100006385170002627,2,
100006880170000981,5,202605
100060512170002535,55,
100064125170001455,4,
100006997170000414,1000,202602
100064127170001965,3,
100064194170000744,1000,
100006740170000859,30,202606
100064127170001933,34,202606
100064203170000320,2,
100006159170000891,5,202605
100006280170001867,5,
100006205170000879,3,
100006880170000980,4000,202512
100064204170000540,1000,
100006335170001397,7,202607
100060747170000411,1000,202607
100063748170001410,9,
100064113170000415,21,202509
100064114170000991,2,
100064208170001100,4,
100064209170000414,12,
100006055170001038,3,
100064209170000416,4,
100006125170002589,27,
100059895170001386,25,
100064219170001328,10,202510
100006880170000945,4,
100060610170001425,15,
100061961170001012,3,
100064230170001007,22,
100064106170002506,14000,
100064219170001345,5,
100064230170001513,2,
100064241170000547,11,
100006095170001142,8,
100006860170001455,2000,202601
100006880170000961,16,202605
100006995170000647,9,
100059897170001678,9,
100061489170003771,20,
100061489170003779,56,202606
100063653170001252,42,
100063707170001625,16,
100064241170000668,2,
100059896170000806,4,
100061115170002152,1,
100062954170000868,3,
100063686170002404,48,
100063755170000921,4,202605
100063976170004492,57,
100064158170000274,1,202509
100067981170000224,1,
100067996170000660,4,202607
100063653170001243,30,
100063884170001374,8,
100067996170000663,2,
100006385170002610,9000,202510
100006470170001474,3,
100006993170000218,1,
100063748170001402,3000,202601
100063884170001410,12000,202510
100064203170000333,1,
100067978170000267,1000,202601
100067996170000677,6000,202509
100060512170002520,43,
100060648170000836,1000,
100061220170001539,6,
100061972170001624,2,
100063750170000646,5,
100063972170000701,1000,202605
100064106170002514,10000,
100064200170000899,2000,202510
100064219170001353,9,
100068003170000134,1,
100068004170000043,6000,202509
100068004170000107,3,202604
100061972170001586,9,
100067969170000424,14,
100006470170001465,4000,202508
100060512170002500,1000,202511
100063686170002394,29000,202510
100063976170004485,60,
100064207170000891,6,
100064244170000315,13,
100068005170001535,7,
100006135170002568,4000,202511
100061972170001596,8000,
100063742170000500,1,
100064012170001264,4,
100064106170002461,13000,202510
100064106170002469,22,
100064212170000954,1000,202601
100064212170000962,7,
100068005170001537,5,
100006760170001395,6,
100060639170002662,8,
100060747170000407,1,
100063685170001689,10000,
100063686170002416,9,
100063707170001635,7,
100063976170004494,1000,202509
100063976170004502,55,
100064111170000252,2,
100068009170000252,1000,202604
100006760170000579,8000,202510
100068011170000171,6,
100061115170002147,24,
100064106170002472,12000,202510
100064230170001492,18000,202508
100006880170000968,9,
100059897170001683,24,
100061489170003793,15,
100063686170002418,43,
100063748170001397,1,
100064219170001340,9,
100060739170001102,4,
100064108170000795,13000,202509
100069964170000942,11,
100007002170000402,1,
100060747170000409,2,
100061489170003802,17000,
100063685170001700,9,
100063795170000952,8,
100063884170001392,71,202601
100064208170001095,11,
100069964170000946,2,
100006135170002586,2000,202512
100006185170000849,1,
100006385170002599,13000,202512
100006730170001051,11000,202510
100059897170001684,6,
100061489170003795,10,
100063733170001115,11,
100063884170001377,15,202605
100063884170001385,18,202603
100064111170000254,1000,202601
100069969170000682,5,202512
100061961170000778,10,
100006525170000841,6,
100061489170003740,28000,
100061489170003748,26000,
100063685170001679,9000,202510
100064117170001669,4,
100064230170001500,9,
100069977170001357,2000,202508
100006317170001185,3,
100006860170001457,2,202606
100060579170000881,1000,
100060697170000900,2,
100061489170003807,6,
100063884170001405,7,
100064106170002513,44,202605
100067962170001099,9,
100068003170000131,3,
100069977170001362,15,
100006301170000907,2,
100006485170001338,1000,202605
100006760170001400,3,202602
100069977170001375,5,
100006055170001069,2,
100060512170002544,11,202604
100069977170001377,4,
100006125170002574,11,202608
100064206170000890,5,
100069827170000912,2000,202510
100069978170000327,1,
100006159170000878,5,
100006385170002592,6000,202510
100059277170000095,1,
100063653170001237,31,
100063815170001147,3,
100006125170002550,5000,202509
100006301170000895,1000,202601
100064200170000896,5,202605
100006790170000501,1,
100006385170002625,3,
100063686170002440,16000,202510
100006870170000864,8000,202512
100063982170001678,9,
100059896170000812,10,
100061489170003817,21,
100061972170001630,20,
100060512170002461,8000,202604
100063982170001671,6000,202509
100061972170001018,26,
100084086170000703,7000,
100084086170000787,18,202601
100064230170001024,12,
100006120170001086,9,202609
100061489170003811,18000,202601
100063663170000787,4000,202511
100069964170000954,1,
100084086170001098,4,
100064106170002444,12,
100111868170000198,17,202604
100063686170002424,36,
100063686170002432,17000,
100064203170000325,3,
100006055170000747,11,
100006280170001876,6,
100006155170000997,7,
100060512170001680,108,
100006125170002613,13,
100007004170000131,1,
100060049170000908,14,202607
100061115170002168,10,
100061489170003844,13,
100061972170001649,1000,202509
100062123170000418,3,202607
100063686170001674,3,202601
100006125170002623,7,
100059897170001695,21,
100062954170000874,2000,202510
100062954170000875,3000,202510
100063685170001709,14,
100059897170000407,4000,202512
100063686170001533,3,
100006125170001790,10000,202510
100063793170000590,2000,202510
100063663170000800,12,
100063686170002462,34,
100006525170000850,2000,202603
100063755170000625,13,
100069960170000569,9,
100063653170000779,77,
100006260170002011,11,
100061489170003896,10,
100061489170003904,42,
100063843170000839,5,
100063653170001282,22,
100064106170002523,27000,202509
100064106170002527,40,
100006385170002671,1,
100061972170001635,9,202605
100063685170001712,3000,202602
100064106170002529,39,
100064106170002538,38,
100006470170001492,4,
100063686170002475,26,
100063686170002483,33,
100064106170002549,15,
100063685170001742,2,
100064106170002557,31,
100060512170002601,24,
100064113170000438,1000,202511
100064125170001036,9,
100064127170001520,3000,202510
100063733170000904,8,202609
100060512170002556,50,
100060610170001446,1000,202601
100063976170004536,17,202510
100063976170004544,41,
100064127170001975,11000,202510
100068001170000434,25,202607
100006790170000241,1000,202509
100064158170000395,1,
100063748170000994,43,202602
100060632170000618,3000,202601
100064160170001101,4,202511
100064208170000804,8000,202510
100006125170002632,7,
100006159170000902,7,
100006493170000808,1,
100061489170003872,4000,
100061489170003880,11,
100063686170002493,4000,202601
100063686170002501,27,
100006135170002610,3,
100064206170000895,2,
100064206170000896,1000,
100061489170003825,2,
100061489170003833,11000,
100063976170004527,49,
100006760170001423,1,
100060512170002598,43,
100064106170002564,26,
100064209170000455,7,
100006730170001091,2,
100064209170000456,6,
100007003170000174,1,
100060512170002619,37,
100060739170001125,2,
100064011170000760,1,
100064209170000459,2000,202509
100061220170001548,3,
100063884170001454,20,
100063884170001462,23,
100063884170001470,10,
100064211170000203,1000,
100006317170001211,2,
100063976170004566,10,
100064219170001369,5,
100064219170001371,3,
100063686170002506,23,
100064230170000835,31,
100060049170001276,3,
100061489170003852,8000,
100064230170001521,19000,202509
100064240170000299,1000,202601
100006493170000806,2,
100059279170000372,5,
100064241170000671,4,
100063976170004442,3000,202509
100006280170001818,11,
100063686170002359,46,
100061972170001570,24,
100064232170000597,3000,202509
100061489170003860,13000,
100064244170000329,1000,
100064244170000340,7,
100064245170000343,4,
100064152170000526,5,
100052806170000512,3,
100063734170001537,8,
100006480170001625,2,
100060512170002603,23,
100063976170004556,20,
100063976170004564,14,
100067962170001107,4,
100063653170001304,20,
100067969170000995,4,
100064114170000665,3000,
100067978170000173,4000,202511
100067986170000151,1,202509
100006435170000762,14,202605
100006480170001130,13,202608
100064206170000931,4,
100006740170001387,8000,202511
100006860170001435,7,
100006860170001443,9,
100063748170001389,1,
100006485170000848,11000,202508
100063904170001001,1000,202510
100061972170001634,24,202601
100068009170000264,10,202605
100006135170001870,20000,202509
100006470170001005,12000,202509
100006385170002670,2000,202603
100059897170001699,18,
100068016170000141,6,
100006740170001433,4,
100064230170001551,3,
100068016170000151,4,
100006280170001894,6,
100059896170000822,1000,202601
100060639170002690,2,
100063799170000617,3,
100064106170002613,3000,
100068011170000542,1,
100068018170000504,1,
100006159170000873,1000,202607
100060632170000928,3,
100064207170000888,3000,202509
100063685170001725,4000,
100006740170001431,7000,202511
100061115170002170,7,
100063685170001730,2000,
100063686170002460,6000,
100063884170001483,5,
